,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,run1,run2,run3,run4,Total Runtime,strcol
8,16,16,16,8,8,8,8,2,1,1,1,0,0,0,117.38,116.95,124.15,117.83,476.31,wzal
79,16,16,16,8,8,8,8,8,1,1,1,1,1,1,105.56,106.07,106.1,106.71,424.44,aqjm
128,16,16,16,8,8,8,16,2,1,1,0,0,0,0,115.08,113.94,117.69,115.8,462.51,kabi
204,16,16,16,8,8,16,8,2,1,1,1,1,0,0,117.83,118.35,118.11,118.08,472.37,chja
268,16,16,16,8,8,16,16,2,1,1,1,1,0,0,118.27,120.59,118.64,118.39,475.89,cfua
296,16,16,16,8,16,8,8,2,1,1,1,0,0,0,138.76,138.8,138.94,138.84,555.34,majy
308,16,16,16,8,16,8,8,2,2,1,0,1,0,0,112.13,111.81,111.95,112.15,448.03999999999996,acdc
316,16,16,16,8,16,8,8,2,2,1,1,1,0,0,112.22,112.11,112.37,112.03,448.73,agho
348,16,16,16,8,16,8,8,8,2,1,1,1,0,0,108.12,109.21,109.15,109.15,435.63,arzr
404,16,16,16,8,16,8,16,8,2,1,0,1,0,0,109.24,108.89,109.07,109.31,436.51,apqr
416,16,16,16,8,16,16,8,2,1,1,0,0,0,0,131.07,131.03,131.06,131.17,524.33,waih
425,16,16,16,8,16,16,8,2,1,1,1,0,0,1,124.32,124.36,124.36,124.41,497.45000000000005,lraq
468,16,16,16,8,16,16,16,8,1,1,0,1,0,0,135.47,135.44,135.67,135.4,541.9799999999999,aeqx
472,16,16,16,8,16,16,16,8,1,1,1,0,0,0,141.05,140.83,140.93,141.0,563.81,mazi
473,16,16,16,8,16,16,16,8,1,1,1,0,0,1,116.97,117.07,116.94,116.98,467.96000000000004,oazu
480,16,16,16,16,8,8,8,2,1,1,0,0,0,0,133.73,133.57,133.72,133.63,534.65,afnc
482,16,16,16,16,8,8,8,2,1,1,0,0,1,0,118.02,119.18,118.97,119.03,475.19999999999993,jamz
518,16,16,16,16,8,8,8,8,1,1,0,1,1,0,120.99,120.96,120.9,120.82,483.67,igva
556,16,16,16,16,8,8,16,2,1,1,1,1,0,0,131.0,131.02,130.98,130.99,523.99,jtac
558,16,16,16,16,8,8,16,2,1,1,1,1,1,0,123.02,123.08,123.07,122.99,492.15999999999997,ramh
582,16,16,16,16,8,16,8,2,1,1,0,1,1,0,112.89,112.82,112.85,112.88,451.43999999999994,khat
592,16,16,16,16,8,16,8,2,1,2,0,0,0,0,109.97,110.05,110.12,110.08,440.21999999999997,awkb
600,16,16,16,16,8,16,8,2,1,2,1,0,0,0,110.07,109.94,109.99,110.02,440.02,xgav
604,16,16,16,16,8,16,8,2,1,2,1,1,0,0,110.06,110.14,110.0,110.09,440.28999999999996,qahu
610,16,16,16,16,8,16,8,8,1,1,0,0,1,0,111.12,111.1,110.92,111.17,444.31,lqaa
672,16,16,16,16,16,16,16,2,1,1,0,0,0,0,163.44,163.59,163.66,163.65,654.3399999999999,eaeh
681,16,16,16,16,16,16,16,2,1,1,1,0,0,1,124.78,124.86,124.88,124.83,499.34999999999997,jabe
690,16,16,16,16,16,16,16,8,1,1,0,0,1,0,124.0,123.92,123.93,123.97,495.82000000000005,dcac
704,16,16,32,8,8,8,8,2,1,1,0,0,0,0,109.62,110.89,111.71,108.38,440.59999999999997,dado
904,16,16,32,8,8,16,8,2,1,1,1,0,0,0,117.43,116.77,116.95,117.06,468.21,abdl
908,16,16,32,8,8,16,8,2,1,1,1,1,0,0,118.75,118.7,118.45,119.01,474.90999999999997,yvua
964,16,16,32,8,8,16,16,2,1,1,0,1,0,0,114.51,114.61,114.16,114.39,457.66999999999996,iwac
993,16,16,32,8,16,8,8,2,1,1,0,0,0,1,118.16,118.24,118.22,118.23,472.85,dasp
999,16,16,32,8,16,8,8,2,1,1,0,1,1,1,100.67,101.25,101.04,101.04,404.00000000000006,maza
1005,16,16,32,8,16,8,8,2,1,1,1,1,0,1,127.82,128.18,128.15,128.16,512.31,waxm
1006,16,16,32,8,16,8,8,2,1,1,1,1,1,0,103.3,104.0,103.3,103.45,414.05,wzai
1008,16,16,32,8,16,8,8,2,2,1,0,0,0,0,111.21,110.99,111.19,111.16,444.54999999999995,zqaq
1020,16,16,32,8,16,8,8,2,2,1,1,1,0,0,111.28,111.11,111.32,111.35,445.05999999999995,awtl
1025,16,16,32,8,16,8,8,8,1,1,0,0,0,1,118.14,118.23,118.27,118.25,472.89,spar
1034,16,16,32,8,16,8,8,8,1,1,1,0,1,0,103.27,104.07,103.43,103.38,414.15,axtj
1039,16,16,32,8,16,8,8,8,1,1,1,1,1,1,108.48,108.64,108.55,108.75,434.42,afov
1048,16,16,32,8,16,8,8,8,2,1,1,0,0,0,115.2,115.64,115.29,115.53,461.65999999999997,hlav
1061,16,16,32,8,16,8,16,2,1,1,0,1,0,1,110.51,110.6,110.59,110.51,442.21000000000004,aebm
1068,16,16,32,8,16,8,16,2,1,1,1,1,0,0,148.35,148.05,148.37,148.3,593.0699999999999,hyad
1069,16,16,32,8,16,8,16,2,1,1,1,1,0,1,118.72,118.84,118.75,118.74,475.05,aaog
1080,16,16,32,8,16,8,16,2,2,1,1,0,0,0,111.11,111.23,111.26,111.14,444.74,apsg
1112,16,16,32,8,16,8,16,8,2,1,1,0,0,0,115.34,115.42,115.13,115.25,461.14,manh
1120,16,16,32,8,16,16,8,2,1,1,0,0,0,0,137.38,137.58,137.24,137.47,549.6700000000001,ihah
1132,16,16,32,8,16,16,8,2,1,1,1,1,0,0,148.15,148.28,148.35,148.29,593.0699999999999,mlas
1133,16,16,32,8,16,16,8,2,1,1,1,1,0,1,127.95,128.28,128.16,128.2,512.5899999999999,amzu
1141,16,16,32,8,16,16,8,8,1,1,0,1,0,1,121.35,121.6,121.59,121.58,486.11999999999995,aikg
1156,16,16,32,8,16,16,16,2,1,1,0,1,0,0,137.34,137.41,137.24,137.55,549.54,armx
1160,16,16,32,8,16,16,16,2,1,1,1,0,0,0,148.12,148.55,148.52,148.18,593.3700000000001,anyv
